# MASS_BEST   SFR_BEST     
  10.1045     -1.13618     
  10.1749     0.137866     
  10.6267     0.330272     
  11.1244     1.1429       
  10.4223     -2.14548     
  10.2467     0.267481     
  10.5367     -0.311933    
  9.21004     -0.590623    
  10.3669     -0.981247    
  10.3867     -0.638889    
  10.9313     -15.3385     
  10.8113     0.32744      
  10.8021     0.892561     
  11.1971     1.10276      
  10.5761     -0.127351    
  10.5162     0.0272035    
  10.9135     -10.3071     
  10.9108     0.170971     
  10.5851     -5.5823      
  11.6985     1.56502      
  10.6037     0.546124     
  10.8327     0.238765     
  10.5039     -1.70482     
  10.8434     0.286206     
  10.2652     0.344609     
  10.1614     2.76419      
  10.5055     -1.00398     
  10.7437     -0.0120674   
  10.7838     -27.3377     
  10.6469     0.49583      
  10.3859     -0.369898    
  10.7776     -0.0322241   
  10.6597     -0.0419582   
  10.5551     0.236322     
  9.8505      -0.412693    
  10.2667     -0.32633     
  11.1355     1.00196      
  10.3779     -2.18982     
  10.6073     -15.6707     
  9.98822     0.107752     
  10.4963     -0.798101    
  10.4064     -0.780613    
  9.96697     0.0353445    
  11.7104     1.0798       
  9.9464      0.129691     
  10.0414     -0.807303    
  10.8523     0.743817     
  11.0247     1.14423      
  10.7671     0.100068     
  9.89691     0.221336     
  11.3228     1.04319      
  10.4235     -99.0        
  10.5491     0.175095     
  10.6564     -19.8728     
  10.9262     0.55223      
  11.3955     1.06129      
  10.343      -0.466778    
  10.2099     -0.108795    
  10.2859     0.424771     
  10.7944     0.397344     
  10.5286     0.496875     
  10.2457     -2.32203     
  10.525      0.0959634    
  9.76182     -0.107872    
  10.1418     0.402948     
  10.6524     0.396717     
  10.184      -1.38005     
  10.0247     -0.00585654  
  9.92805     -9.48692     
  10.503      0.184259     
  10.7606     0.276767     
  10.1913     -0.0719355   
  10.5387     0.520197     
  11.1205     0.691471     
  9.98783     -0.16324     
  10.1817     -0.0256123   
  10.8445     0.0887599    
  10.7462     -0.171621    
  10.1916     0.0972944    
  10.5093     0.358204     
  10.3492     -99.0        
  9.65897     -0.282408    
  10.3553     -2.5716      
  10.7433     -0.981034    
  10.1084     -1.59869     
  10.6387     -0.117026    
  11.1741     1.38579      
  10.6049     0.0118464    
  10.4149     -0.640174    
  10.657      0.650633     
  9.17378     -0.556616    
  10.0074     0.396989     
  11.2508     1.35972      
  10.3431     -0.0308941   
  11.0707     -0.493379    
  8.68619     -4.68343     
  10.7538     0.310485     
  10.7693     -8.92199     
  9.83846     0.626164     
  10.0567     -0.363562    
  9.79881     -0.551643    
  11.0244     0.81706      
  10.6663     -0.109863    
  10.4173     -0.0117019   
  10.329      0.0102335    
  10.342      -2.58491     
  11.2624     1.28092      
  10.7014     0.235232     
  10.4649     -0.614605    
  10.7262     -0.407139    
  11.1278     3.37484      
  10.7121     -1.01227     
  11.0239     1.18778      
  10.5317     0.0478264    
  9.544       0.099732     
  10.6499     -0.105853    
  9.83743     0.386398     
  10.2979     0.260858     
  11.4243     1.0901       
  10.4682     -0.416637    
  11.0043     0.410301     
  10.3531     -0.0186529   
  10.5928     -0.378926    
  10.6751     -0.0265374   
  10.6146     -0.141187    
  10.4315     -0.701794    
  10.6666     0.220291     
  9.59803     -0.137928    
  10.8507     0.500234     
  11.0342     1.11365      
  10.5998     -7.73236     
  9.97651     -2.95043     
  10.3274     0.466349     
  10.8922     0.116098     
  10.6444     -0.650088    
  10.6118     -14.9443     
  10.3526     0.096893     
  10.3211     -0.488695    
  10.3829     -1.39508     
  10.7377     -0.0747073   
  10.4702     -23.3122     
  10.5042     -0.162861    
  9.36187     -0.27336     
  10.7921     -0.556085    
  10.2507     0.511891     
  9.89995     -1.10137     
  10.5175     -8.53668     
  11.8075     1.87789      
  10.058      -1.07769     
  10.6612     -0.259793    
  10.5607     0.140404     
  11.7452     1.58682      
  10.2479     -0.419077    
  10.7126     -0.528163    
  10.5398     -0.324013    
  11.2094     1.42109      
  10.6151     0.578035     
  10.4851     -7.4861      
  10.9375     0.234062     
  10.7916     0.640556     
  10.215      0.177923     
  10.4389     -0.694392    
  10.2971     -0.458649    
  10.8124     0.438439     
  10.426      0.274932     
  10.7172     0.343206     
  10.6539     0.335159     
  11.0913     0.940267     
  10.4452     -0.310519    
  10.0537     0.133148     
  11.0976     -0.0357541   
  11.5039     0.263166     
  10.7198     -15.5582     
  10.9251     1.26246      
  10.1831     -6.70544     
  11.7786     1.44438      
  10.8217     -2.1052      
  11.0391     0.51868      
  12.4022     2.57767      
  10.5032     -1.06085     
  10.3979     0.289466     
  10.0125     0.0918815    
  10.7592     0.385354     
  10.2757     -0.207713    
  10.2248     0.130501     
  10.531      0.251448     
  10.7588     -0.105066    
  10.4622     -1.15479     
  10.2868     0.192496     
  9.9583      -0.136039    
  10.3311     0.180071     
  10.4363     -0.696963    
  10.1697     -7.14007     
  10.2576     0.0502287    
  10.3425     0.0793301    
  9.90935     -3.37681     
  10.6935     -2.23339     
  10.2857     -0.252856    
  11.3072     1.17366      
  10.5172     -0.454553    
  11.043      -8.01114     
  10.3402     0.189113     
  10.5255     -2.40148     
  10.4444     0.0153677    
  10.2485     -0.561335    
  10.5184     0.144433     
  10.4663     -7.86579     
  10.0141     -0.249143    
  10.1395     -0.843636    
  10.4653     0.257971     
  10.3538     -0.994376    
  10.9477     0.684513     
  10.5023     -9.27349     
  11.6351     1.82233      
  10.5295     -0.388271    
  9.95477     -0.692661    
  11.0208     -13.451      
  10.012      -0.284485    
  10.0413     -8.56698     
  10.864      -3.15402     
  10.7066     0.0395487    
  11.3192     1.18572      
  10.4302     -0.271455    
  10.6186     -1.05207     
  10.805      0.943894     
  10.4081     0.225068     
  10.8929     0.0804532    
  10.7703     -0.222844    
  10.5661     -0.67458     
  10.7044     -0.0514003   
  10.778      -11.5264     
  10.3601     -0.341539    
  10.9609     0.205166     
  10.8116     0.998866     
  10.271      -0.862337    
  10.2829     -1.7107      
  10.3094     -8.73202     
  10.6354     -0.213288    
  10.6338     -0.606918    
  10.3654     -0.227673    
  11.0705     0.550082     
  10.3586     -0.179923    
  8.67036     -99.0        
  10.4954     -0.476274    
  11.4711     1.5023       
  10.4548     -0.192637    
  10.5373     -0.45573     
  10.3565     0.037717     
  10.1805     -0.331231    
  10.5037     0.184946     
  10.7692     0.285286     
